NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	184	-0.49030042	-2.4496586	0.0	0.0	0.0	3383	tags=58%, list=27%, signal=79%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	186	-0.44002634	-2.1770177	0.0	0.0	0.0	4372	tags=62%, list=35%, signal=94%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	137	-0.39454472	-1.8581517	0.0	0.0021296798	0.011	3443	tags=50%, list=27%, signal=69%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	183	-0.33534297	-1.676782	0.0	0.011290116	0.075	3993	tags=48%, list=32%, signal=69%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	140	-0.30111325	-1.4265041	0.020912547	0.082607254	0.521	4641	tags=55%, list=37%, signal=86%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	181	-0.28330716	-1.4088393	0.0151802655	0.07819788	0.562	3349	tags=36%, list=27%, signal=49%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	186	-0.27276826	-1.3636913	0.02189781	0.09756194	0.71	3277	tags=35%, list=26%, signal=47%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	39	-0.34487325	-1.2849804	0.13257575	0.15566428	0.897	2557	tags=28%, list=20%, signal=35%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	Details ...	60	-0.29716924	-1.2209306	0.15589353	0.21899487	0.98	1768	tags=20%, list=14%, signal=23%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	86	-0.26770788	-1.1746085	0.17335767	0.2682084	0.992	4232	tags=48%, list=34%, signal=72%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	159	-0.24427465	-1.1726748	0.16187051	0.24683367	0.993	1738	tags=21%, list=14%, signal=24%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	186	-0.2145715	-1.0671498	0.3043478	0.42565548	1.0	4440	tags=42%, list=35%, signal=65%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	27	-0.2634907	-0.8891757	0.6187943	0.8684399	1.0	1720	tags=22%, list=14%, signal=26%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	161	-0.18221596	-0.88360715	0.7765568	0.8211192	1.0	3074	tags=27%, list=25%, signal=35%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	36	-0.21841541	-0.7901886	0.80478823	0.95021987	1.0	1569	tags=17%, list=13%, signal=19%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	24	-0.20772195	-0.687274	0.92354125	0.9742583	1.0	1261	tags=13%, list=10%, signal=14%	
